trial_id,window_id,window_start_s,window_end_s,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
2,36,10.5,10.8,-0.6727428443468665,0.577432193978893,0.6641615586703202,4.038056926386229,3.34736316743013,1.8329469153125777,0.2548815492793413,-0.3474264223281874,1.284210906112877,1.4066334557994906,-0.35725853582042466,-1.1165634793458197,-1.0291518496402738,-2.3002093164178046,-2.3396700565782607,-0.46796429255526645,0.25701337406373703,-0.3310375547890916,-0.35472264874895826,0.27276133125727736
2,37,10.8,11.1,-0.07578812878169647,0.5590226349392222,1.1552123057340193,3.1086781237986254,-0.4054798785047074,0.8079691654407606,0.36965394035871674,1.2089717388073542,-0.6285263633222713,0.5806688714617676,0.9131205585790634,-0.2168444141154873,0.3283285725265256,0.7362681006137025,0.3931959960128559,0.43255681850964517,0.534095661246822,-0.26755442808659907,0.7067452684638618,-0.10673293411601191
2,38,11.1,11.4,0.05056596596643962,0.0944021221544922,0.26588691370048884,2.7562183202982737,0.2671588228969493,0.8493118778364915,-0.5642179296577965,1.4471283910974688,0.6531294493266093,2.1354668395447205,1.2083588401683178,-0.28940073290487944,0.16798157913808512,1.0754148452503178,0.280369331473338,0.8185061792059365,-0.46784480374696813,0.182887367494938,-0.10925768512594274,0.03488651142776739
2,39,11.4,11.7,1.2369012581298149,-1.1052417330781934,0.5662283615958957,3.473199889808704,-2.1273562846671044,2.382092230972719,2.437367188837207,-1.0988902042991295,-0.6614696558502484,-0.737311130152753,-0.5469130277160741,3.9321603800246074,-0.8790112825609572,1.042738177955232,-1.3177640344592165,0.34093644706302273,0.26207495795100394,0.0028711384771898437,-0.31183848027090305,-0.5188436387497943
2,40,11.7,12.0,-0.09209064490969582,-1.6858202213663571,0.6837141775770712,-2.1519506811297866,-1.9332081309427294,-0.6808429558185752,-3.5834823686176502,0.6309963108729645,-0.15619400274659576,-2.212420321017348,-0.5058057086470985,0.8467236997914123,-1.6044717180857357,0.9083754741103159,-0.03700724151801577,0.6361070469238113,0.7834129862061795,-0.4294474274120548,0.37255866900721657,0.09657309005550889
2,41,12.0,12.3,0.48296219069817803,-0.6833167967587757,0.9049192730064918,-1.4350630214529043,-4.869505755754838,0.8496703545689062,2.1231561873804052,-1.2424911263667735,0.44644257567492734,0.39796509439838174,-0.4365524915820735,2.2369568359647323,0.1999989171810826,1.6058186295957895,-0.7761990704011464,0.14668288968626336,-0.8885326585915634,-0.2205340586576538,-0.29930475003264095,0.13348879740033812
2,42,12.3,12.6,1.0459272556817305,0.6353521775241434,1.3676242718527505,0.2753043762969798,-2.517324414447441,0.29260069607843986,2.804290410826617,0.8736006764126759,0.9075384743442906,0.9644192630688555,0.3295246493605856,0.7650267095616605,1.3974284367164902,0.3556518432768761,-1.6751037373229876,-0.5256558206088306,-0.6815530305925489,0.7272439451282744,-0.8073497516896966,-0.0425751039109651
2,43,12.6,12.9,1.0513744618518985,1.9027953080788886,0.6488261620650715,0.1347747180843399,-0.12791974159430503,0.8639983709459526,-0.6614715289956418,-0.30709113987044767,0.23558752753472958,-0.08569485961746842,0.8468939398729254,-0.4940897766240156,0.5829368319959274,-0.4264870459176966,1.053130376485445,-1.0466395074353145,-0.9065283736850838,-0.160933567166776,-0.4408847419017682,-0.28831886252078426
2,44,12.9,13.2,1.1372100458909185,0.09130063329649382,0.8162635315752348,0.18442465930376115,-3.5605051302457698,0.1640706683296611,2.3415289741046794,1.7794831404157163,1.1042146309100391,0.518245716379236,2.0857245996945473,1.689127760106421,-0.7874162400040278,-0.42696881710579965,0.7733523446718628,-0.37415090309338767,1.3584067108445657,-0.14237268985350743,0.4008196263524031,0.24181846990995168
2,45,13.2,13.5,1.0282924161231186,0.7037400187668068,1.8003713023282784,-3.147095626281131,-3.215034093293064,-0.7402508552154724,-4.334321783820676,2.293575919431081,-0.7829181551984172,0.49446781304246357,-1.649883716931442,-2.4029087205368627,-0.030288055258300823,0.07190132811548654,-1.3755684527181329,0.32746684995638076,0.26370301502818516,-0.339701001491887,0.14070944262721116,0.2812420789726654
